business_age,annual_turnover,monthly_profit,monthly_expenses,existing_loan_amount,employee_count,credit_score,gst_compliance_score,debt_to_income_ratio,years_with_bank,upi_transaction_volume,loan_approved
10,16658439,613912,158878,1676180,123,711,97,0.52,13,2860082,0
5,13566982,193482,237967,1645347,99,589,55,0.8,15,3853392,0
9,34859982,198337,568644,3915419,112,733,68,0.37,6,1785001,0
2,43766662,81271,506323,3045574,235,685,72,0.39,4,4218634,0
16,17634048,543870,238172,6663577,165,539,57,0.35,15,1418345,0
1,28817150,522764,394080,1018766,48,635,72,0.72,9,4717164,0
18,34262489,138946,294836,533273,99,776,65,0.75,4,1073998,0
14,9431514,232842,193598,2731178,197,583,84,0.29,4,1024535,0
11,9449339,746914,581535,5359259,124,536,57,0.76,8,4304604,0
9,16390698,765327,64990,14724049,117,673,63,0.83,4,1341626,0
7,12160530,592319,89100,11932395,59,863,87,0.86,1,3564464,0
5,16462791,211588,209568,7436727,198,779,59,0.52,12,3647149,0
19,33091239,495339,259831,1457018,94,761,99,0.12,6,3353013,1
16,2969391,736175,191242,895708,275,605,64,0.41,14,3806625,0
8,29949837,170695,468417,6120547,215,720,99,0.49,6,2898702,1
18,46042003,92033,442642,4161164,136,727,63,0.93,2,2560514,0
9,43916369,637481,209104,121462,143,648,99,0.69,11,914310,0
17,19831781,759861,456525,3054361,167,543,98,0.59,15,1401036,0
7,25483349,109629,270576,8536907,230,569,94,0.57,13,1599266,0
18,43641730,391085,532787,7186688,293,798,71,0.66,3,439679,0
6,7753681,258601,562205,3920,65,663,79,0.46,15,1735869,0
5,15182244,192888,194635,9985171,220,736,83,0.48,11,4398630,1
9,39385751,124253,195194,669611,70,547,91,0.55,2,3615493,0
2,9657171,69096,470239,10998827,266,756,74,0.64,11,486497,0
15,25230842,532820,140051,6887178,98,549,85,0.82,11,2367690,0
4,2946271,727132,408280,11958080,68,862,73,0.85,11,1155822,0
19,34382017,426905,455156,2376674,95,531,97,0.12,5,2153942,0
6,41931286,272964,389436,13713086,133,768,95,0.68,6,1044479,0
17,572448,766763,374803,4422325,217,823,88,0.54,10,2054744,0
19,4464999,229553,94947,14581638,183,531,62,0.64,10,2774806,0
14,32841646,527583,291246,11771369,193,870,68,0.24,5,2092943,0
7,2116117,112250,225632,2915178,93,509,85,0.17,5,2405433,0
2,48290602,486222,580936,3519737,260,768,53,0.5,1,2014695,0
4,11175827,36782,340792,3810358,132,621,77,0.61,1,4795183,0
13,16782893,648001,383121,3512208,62,505,100,0.67,12,1871652,0
17,33917729,736196,551392,6441814,268,796,77,0.24,2,1442533,0
10,31134213,713166,351247,13651147,235,679,72,0.82,1,2919091,0
9,18394848,469707,266949,13189318,168,887,54,0.7,4,954457,0
6,45044872,667197,23946,4748289,104,746,81,0.77,6,2964621,0
16,24756987,40026,184937,6123842,285,666,68,0.68,4,990740,0
20,17575848,482295,290216,7952666,193,695,89,0.25,13,1823190,0
16,36415206,469842,157479,6967746,184,526,85,0.59,7,3868660,0
7,41032922,407204,185311,7244598,62,512,51,0.46,6,3679877,0
12,34118583,213382,201240,7361902,85,501,57,0.55,9,4702857,0
6,44720682,615025,371257,10990055,124,573,87,0.45,2,3271847,0
19,6000496,151325,171636,14317352,130,604,70,0.85,9,4100811,0
3,35457699,630652,442295,9836519,77,548,56,0.82,3,3720962,0
7,5704354,316433,168817,12294071,3,834,72,0.14,2,4049649,0
7,31888091,537729,158849,7899906,62,644,66,0.47,6,4806274,0
18,40193588,287856,77542,4397702,122,576,79,0.47,14,1388696,0
20,5452156,468721,42468,12260996,17,649,89,0.26,9,3408500,0
3,44720218,31270,258834,6548309,165,647,85,0.63,1,1012762,0
7,20437797,512148,338101,1388143,218,552,72,0.38,1,3868743,0
8,36139995,468404,237303,7469284,56,803,69,0.37,9,4862871,0
8,11793345,684096,331284,4797878,166,565,81,0.56,9,3287769,0
18,17647223,299280,174140,1209037,168,691,78,0.33,3,2984082,0
11,25254901,604960,138477,6021954,104,877,76,0.96,15,4676980,0
10,24836206,306231,42478,4946987,21,724,60,0.64,5,2405943,0
14,9375713,734533,506439,11147647,167,568,96,0.43,11,4526277,0
18,35161234,589649,536204,6327108,207,653,52,0.38,12,73346,0
19,632147,191483,31512,2520356,49,688,99,0.23,8,3049447,0
17,44953037,601953,155096,11321258,175,641,88,0.61,11,1139966,0
3,15942784,680429,13541,12762527,78,586,87,0.97,1,921940,0
4,33503470,439507,147729,3364408,3,720,73,0.17,5,3537255,0
1,15010634,216642,345598,4636763,182,547,50,0.78,12,3674647,0
6,47124850,548726,63285,2570043,171,767,85,0.76,3,4257924,0
13,33055803,635594,224866,10065454,225,646,79,0.88,7,4560331,0
18,1089828,166637,187973,3510496,187,691,55,0.79,6,312623,0
19,18136137,390427,445678,14487882,184,594,80,0.48,5,512938,0
7,35246840,368904,547244,8343036,190,563,72,0.78,7,289000,0
20,42706362,660879,127502,4971297,240,851,52,0.36,1,4377364,0
20,24973136,180038,171382,11344552,100,728,75,0.4,14,1188080,0
15,27259407,778844,76239,2961651,164,525,76,0.49,3,696404,0
9,34910179,135354,545053,314056,71,868,60,0.38,9,2164637,0
2,1754167,522273,135964,7574344,12,540,89,0.38,5,4875952,0
20,35242434,411134,503256,5509783,176,538,80,0.12,10,344657,0
8,23951696,251931,283812,9947881,145,842,71,0.25,8,4243836,0
7,13728460,180436,240034,8195717,225,714,69,0.79,9,3582233,0
5,6077593,796807,194008,13195307,129,710,65,0.56,15,2013897,0
6,35815065,440557,146713,801936,44,720,85,0.83,10,1178550,0
3,9653280,195166,72945,1528970,261,659,82,0.38,9,2755108,0
20,31390211,770069,433585,8268559,204,635,52,0.44,5,3109598,0
11,20173213,250034,466082,6910351,91,806,61,0.19,8,1262041,0
11,8827814,673365,473317,9502703,288,521,75,0.21,15,1984561,0
13,17149178,621970,529399,2716826,162,896,97,0.28,13,1620484,1
3,44927184,791860,523378,6068684,159,640,96,0.23,14,2646643,0
18,29544344,283451,103584,12339754,270,752,99,0.49,1,174141,1
15,45562141,439551,488056,7758199,42,692,80,0.28,15,3506101,0
7,35717380,538293,463707,13926867,42,759,63,0.61,10,2004906,0
6,10552408,566586,142612,3889418,161,663,67,0.47,12,3003586,0
15,42554730,258648,285863,6230723,130,530,57,0.9,3,501255,0
5,9661388,167768,323062,10646089,208,674,92,0.31,13,2586101,0
3,8373938,702547,78093,7797770,259,559,71,1.0,15,3573125,0
15,35677877,664588,160431,10433474,205,593,81,0.48,15,4263887,0
16,10001239,795882,213782,8857757,252,722,88,0.24,6,2446489,1
5,17733360,156411,180121,8239404,170,673,52,0.65,6,3148221,0
7,30307601,562213,463035,849075,19,564,100,0.9,1,3637308,0
16,21734276,427601,433944,14564701,123,595,96,0.61,11,2701946,0
7,5330776,780611,166324,1609030,117,579,73,0.56,5,1802181,0
1,49758816,352848,215342,4037057,134,757,92,0.38,12,695490,1
6,3550905,348484,134363,14754908,278,792,91,0.92,6,303709,0
19,24637563,435935,27610,11554890,244,526,66,0.39,13,4812674,0
7,5358699,614851,431264,9160425,142,573,99,0.34,13,386502,0
3,27363918,55916,532320,6592525,241,514,76,0.23,3,729432,0
1,34013894,598950,560537,10412340,139,564,70,0.27,12,2534707,0
16,25099156,30628,327682,9146703,246,562,76,0.41,9,2842345,0
6,42211288,94861,512964,12955356,256,744,77,0.38,3,434434,0
3,19118478,442088,84152,2729379,34,504,60,0.66,9,2926148,0
18,8606309,774759,143125,4018009,204,853,88,0.47,8,4199170,1
1,26523574,61430,551702,10829770,63,726,80,0.32,15,1294951,1
12,4164709,364658,263028,479280,191,518,64,0.75,6,3646954,0
10,40830884,750485,262525,9376967,278,644,70,0.64,1,2032301,0
20,28567299,227005,374993,146242,99,526,81,0.73,10,1376410,0
2,38152409,291704,295137,11673108,118,517,56,0.52,10,117716,0
8,12320971,723006,61687,12357738,63,605,55,0.38,14,2985505,0
15,28896528,604870,448258,9776655,222,669,72,0.22,11,161751,0
10,5525667,656470,555294,7220316,206,546,80,0.46,1,4930064,0
1,5007138,580115,217274,9559780,113,884,64,0.87,9,690664,0
20,32145683,125987,335432,7079384,55,702,81,0.78,7,3100843,0
18,22627992,101769,79106,14699540,127,799,50,0.49,2,2456025,0
7,8884040,629898,539061,6776539,249,810,86,0.38,5,4644740,1
9,22845885,46184,20732,1015238,28,859,51,0.23,8,624083,0
15,39730984,238598,368787,8038326,66,715,75,0.65,15,1426080,0
18,36764574,717532,513717,9303545,168,862,61,0.12,12,2757930,0
6,39808522,319275,356997,8589424,11,888,97,0.23,2,1783671,1
11,31463195,96629,222919,6488643,291,707,56,0.31,15,1447053,0
3,5532434,487923,150855,433173,25,543,96,0.11,13,1646369,0
15,22014256,643279,452009,6941561,283,735,74,0.9,13,4900598,0
5,22679750,502098,78684,13122545,105,742,100,0.14,4,4742503,1
3,33344064,177862,240911,8290544,138,737,94,0.11,12,829825,1
4,39965330,424622,67695,4360275,178,659,81,0.22,4,2405025,0
16,13450375,327628,117686,1721727,236,665,53,0.73,6,1515382,0
14,34175741,231058,526801,12083384,280,625,73,0.85,1,2600641,0
6,21536417,341384,306066,13618589,74,765,68,0.62,7,4704325,0
16,27505283,312571,542560,12215371,267,517,94,0.47,13,3799341,0
4,6976290,732034,453591,5242972,242,777,99,0.81,8,3551795,0
4,31034540,183815,385134,10766749,5,649,76,0.11,13,1169155,0
1,46329986,193682,246293,2320866,45,807,67,0.54,11,94291,0
11,32498674,451483,494831,2078425,49,610,95,0.83,11,2142272,0
11,22816304,709560,198994,7763349,85,708,58,0.64,14,450097,0
10,6128276,529337,393142,5012887,1,725,50,0.82,7,699772,0
11,25327847,324956,147935,9200426,120,688,96,0.92,8,232229,0
12,9887302,157273,483438,12960831,135,685,63,0.52,11,2948763,0
12,44661474,207955,392179,8565620,7,765,67,0.13,12,4856657,0
3,45197116,303500,144944,940991,73,649,55,0.98,2,1035386,0
2,34207610,49708,86867,1257974,82,617,56,0.93,8,3233049,0
7,40317965,269966,432034,2334207,25,676,96,0.15,1,4228008,0
18,49437698,37408,68992,592312,129,616,94,0.87,5,3922988,0
18,29798128,186990,589866,5030277,290,657,65,0.52,10,910199,0
10,7611849,762231,182410,13327167,238,528,73,0.8,13,3096504,0
3,38082953,216951,583625,9959343,96,575,81,0.92,13,4902640,0
3,39774945,305677,430824,4394846,40,586,90,0.78,4,3799197,0
6,8470486,261471,40671,5641403,149,877,71,0.87,13,972883,0
18,41346202,376105,351525,13653939,15,838,75,0.58,2,4776670,0
8,1602491,740350,340464,3207231,55,654,99,0.84,4,2922706,0
8,18889321,724579,468594,8703708,40,802,77,0.49,11,3629990,0
11,38065231,701697,109410,2817465,175,746,53,0.8,14,2969930,0
20,17882397,145673,539220,6268800,111,872,58,0.38,14,3267996,0
18,5229147,210740,63665,133631,278,839,80,0.78,4,4672004,0
4,46446800,289236,207425,6686727,101,690,51,0.79,4,1936443,0
10,35435059,487931,100288,14993630,129,774,97,0.7,4,2332490,0
20,7415608,413545,254120,7304123,149,733,50,0.79,4,3671596,0
10,5653617,37714,401853,11112504,201,762,87,0.68,5,4342321,0
11,16696372,651473,193253,13985600,25,755,68,0.72,11,2679844,0
7,28070924,69738,195585,4456737,160,675,93,0.36,10,2894576,0
2,32413310,254621,175125,9756792,24,820,63,0.88,14,4929257,0
7,9073772,284164,576004,8925267,29,857,85,0.42,3,2532643,1
8,36834882,268323,559411,14195901,127,867,75,0.54,3,660571,0
2,938146,23846,502992,8860549,292,636,62,0.63,10,2268789,0
15,39205072,401249,217644,14628486,121,567,76,0.57,9,1852274,0
9,30765059,635758,530516,8955680,234,637,90,0.64,3,328612,0
2,11607131,725569,407099,14972540,252,636,68,0.96,10,4452130,0
16,9433338,280956,208078,10601145,223,540,99,0.38,12,3598980,0
9,35818296,352004,39235,8080195,30,519,72,0.14,2,3886946,0
19,34631237,66797,301758,7650220,28,793,73,0.93,13,2796636,0
10,35432386,274416,439235,10213325,227,864,71,0.72,3,3354387,0
2,24217898,421289,45976,14177263,212,545,79,0.14,8,4735881,0
12,43484941,515432,510378,13717386,119,876,83,0.34,8,3599342,1
13,679218,445420,319011,14060949,130,796,62,0.94,1,2640267,0
8,31093176,753919,265999,8890323,218,728,75,0.99,9,544822,0
1,22851021,96474,553827,8170317,147,773,66,0.77,15,2273388,0
14,10566361,507332,378970,1546570,166,835,53,0.2,3,3722331,0
11,31573067,313166,391778,843537,140,882,72,0.94,13,1194588,0
6,19911532,100476,385039,10366128,95,655,53,0.85,5,961493,0
3,19312149,354383,236429,4993210,288,881,52,0.35,15,2229642,0
2,48394881,780270,594771,3582422,112,883,59,0.18,9,3621849,0
13,2769856,585448,37231,7551679,81,728,52,0.81,12,1830685,0
14,20692549,301345,359007,14000918,104,668,79,0.72,15,3788995,0
7,42768105,537000,581600,7492951,17,568,78,0.77,15,1922423,0
14,12720990,219650,228196,1131224,163,668,52,0.2,6,3707796,0
14,11868161,99757,171609,6062153,161,602,84,0.88,14,1355683,0
11,38512914,447264,406138,1085730,125,706,83,0.88,12,4830944,0
2,15442490,233791,274780,2699905,206,718,66,0.78,1,1144408,0
14,20773572,205148,348152,14659997,198,647,72,0.8,14,255922,0
12,19658478,546808,338233,2136049,153,766,50,0.66,3,3958809,0
3,16596982,654029,488796,11675467,199,553,67,0.91,3,4049603,0
8,6359670,642887,188719,12186814,43,744,95,0.79,5,960781,0
6,6214747,719113,297753,14126809,255,694,84,0.59,5,973629,0
6,19017285,277848,520483,14330495,282,522,85,0.95,9,2953367,0
13,29377338,654768,215700,2149580,128,876,57,0.51,4,3514108,0
14,48538616,214756,309137,2771528,215,517,84,0.12,12,2041490,0
2,38085007,96577,83512,14538677,205,576,50,0.91,9,273065,0
12,20454540,457700,39661,6278856,148,724,64,0.19,11,4018997,0
6,21989706,535828,359387,1246316,1,781,69,0.12,8,1861430,0
19,42301699,46227,64249,13972508,289,660,79,0.71,9,4569493,0
18,13218633,533565,279872,8730256,88,807,60,0.19,9,1411801,0
11,21785327,268784,129824,1685937,285,688,93,0.93,2,3277457,0
7,22525641,316599,74195,12810654,136,827,63,0.8,9,872862,0
16,44372085,234955,67760,8894813,227,613,82,0.88,3,4234858,0
8,38559841,175306,345796,2964631,94,728,82,0.64,9,731401,0
14,16237813,258202,489993,5548275,223,595,92,0.98,8,192076,0
8,42329712,485243,324467,4083337,179,549,61,0.15,7,966999,0
15,26971824,538280,35284,9187742,35,776,62,0.72,10,3095616,0
5,15945060,119978,147960,12428282,6,810,80,0.48,15,2004213,1
4,19055927,677451,514740,4183657,154,604,84,0.57,9,3005594,0
6,16694865,498129,262454,4377203,263,805,66,0.48,11,4410963,0
3,26929428,671285,408702,10575877,216,735,96,0.89,5,4388971,0
9,15874937,143346,105882,6917371,235,553,100,0.84,5,1586676,0
4,27510246,372718,464507,8701858,101,557,79,0.53,14,2281442,0
20,1878169,272213,149594,6596470,115,753,69,0.81,14,2311351,0
19,15081498,756961,311240,13591779,161,742,94,0.98,6,1138721,0
18,40984687,385688,281821,9673977,165,842,53,0.19,4,2528045,0
17,22219439,173023,314811,1391000,154,560,91,0.77,7,3039698,0
7,4356980,798879,43051,12915557,66,772,70,0.84,5,673443,0
6,12406839,386439,136623,14119757,242,576,68,0.54,4,1468693,0
7,4012321,405615,528355,8494271,203,763,85,0.24,8,1530040,1
15,42661310,713741,483220,6174482,171,743,74,0.22,15,2969169,0
17,20426531,242837,105697,5185180,259,629,60,0.9,12,2947549,0
14,12425630,773111,504692,12386820,163,871,64,0.96,11,3958046,0
17,21276856,358558,154732,10655975,105,846,93,0.13,15,1049697,1
17,3007921,541470,329869,6325223,190,626,78,0.48,15,4117917,0
7,30720092,735738,509343,11101621,174,704,55,0.26,3,777796,0
12,40241162,517208,418270,4230489,162,719,90,0.33,7,4389409,1
4,21851987,616196,491637,13133524,49,679,82,0.47,11,4506453,0
6,46345997,639794,184642,9085286,255,879,94,0.46,14,4320002,1
12,39312855,529262,101568,3887115,296,632,66,0.41,14,2146088,0
17,6069262,66852,144439,9380310,213,872,76,0.28,13,4358093,0
7,20343070,262125,463583,4742925,132,899,87,0.43,11,2240251,1
7,6757959,541631,150352,3263412,283,600,99,0.48,14,961579,0
3,22458798,33465,227740,10588827,215,719,80,0.53,10,1900772,0
11,38307377,75607,407004,2247289,161,695,57,0.71,9,3702649,0
2,48755693,536788,220335,10280115,5,831,52,0.82,6,2547782,0
9,49661846,269104,436910,5755662,1,737,64,0.17,12,3694347,0
6,35730316,686866,583821,10825417,227,614,96,0.48,2,3430922,0
4,27864111,726720,483316,12139243,136,589,58,0.37,14,111802,0
8,36465720,520868,270654,13239790,38,559,59,0.26,14,4080843,0
3,41989479,555504,75128,6143038,178,721,67,0.94,8,3796292,0
7,6676560,187159,57684,5468151,114,500,67,0.68,12,4393186,0
1,15330363,756513,177867,2796806,52,633,85,0.86,14,4787289,0
6,12057706,668101,203031,7354131,291,727,81,0.73,10,4741209,0
4,23998793,618993,340766,13959841,151,729,66,0.81,7,177582,0
13,43659183,661115,236344,3327510,205,825,81,0.53,6,1882335,0
8,10085274,405762,458599,9742038,264,583,92,0.69,12,2556009,0
1,27876629,753333,415661,13484341,32,641,81,0.41,7,3545812,0
14,11993619,116532,550313,4717284,89,507,53,0.15,11,3679442,0
15,36231745,407672,183519,8112052,156,824,57,0.37,12,365863,0
14,23357625,420105,517592,5483481,74,648,99,0.83,1,4867101,0
14,35986053,423129,344457,5635421,293,699,80,0.15,1,4189130,0
7,36923422,542591,149515,8604312,212,685,83,0.28,10,4244578,0
15,14633096,205865,327104,3312211,121,713,69,0.27,10,1778833,0
14,25394743,637531,284085,4643918,233,838,52,0.18,6,3920292,0
20,30026962,717270,189447,5778139,248,661,87,0.3,8,1595645,0
13,2638860,106786,546442,1389134,249,549,67,0.43,15,2670111,0
1,38491863,702549,38913,5429082,153,769,88,0.44,6,2341572,1
6,24598364,697325,450303,2154409,126,505,93,0.94,13,897057,0
20,45226624,424423,572146,8798635,259,553,52,0.34,13,2175867,0
5,12059607,50806,54534,5903018,216,544,60,0.91,14,1583826,0
9,26481903,506410,483101,3149888,285,687,81,0.26,5,4669538,0
10,38749888,258417,271928,13294387,2,698,78,0.84,13,3597379,0
16,7405821,85725,181445,14914488,295,624,66,0.23,5,4417304,0
9,9323152,612623,235649,10121980,249,821,67,0.94,9,4867993,0
17,24420743,217094,220584,7599637,211,798,85,0.9,8,4966801,0
9,25319480,612784,170974,7938334,119,891,61,0.66,2,710848,0
14,29335272,56316,365268,2838641,57,609,97,0.17,6,732299,0
15,32065588,264566,139466,11772008,272,848,85,0.28,10,3334115,1
17,46846632,184546,77381,13859300,100,666,78,0.94,6,402058,0
15,23610066,292659,480625,4436889,253,816,80,0.36,2,4473543,1
2,16605598,318217,569454,4431110,209,714,67,0.12,6,136161,0
4,47884430,629044,22862,12476123,169,792,82,0.41,13,2711685,1
1,23709116,133070,112287,11713659,191,657,59,0.81,14,2876963,0
3,41072457,476844,16898,4209609,211,676,64,0.31,12,3391145,0
15,46460349,138539,430655,693896,96,660,77,0.7,3,519066,0
10,42156104,80427,247459,11460749,12,872,92,0.79,9,2483010,0
3,45414404,78354,424885,3733747,113,570,76,1.0,7,2850591,0
17,20195535,104780,337302,1233586,255,893,92,0.83,2,1308797,0
17,28894609,536814,471050,8625748,188,812,86,0.41,10,3519532,1
20,36826066,156385,547274,7290951,171,845,70,0.47,9,3113673,0
18,7348829,172470,518587,9418215,175,803,79,0.87,9,2717973,0
12,26415575,748278,547321,8926709,138,800,88,0.17,4,4780894,1
11,40278928,634748,527669,2616615,9,834,79,0.71,1,631856,0
6,25947931,786289,113771,4595167,72,836,72,0.39,8,281731,0
5,20176150,468434,141775,7847401,21,577,84,0.19,11,1544747,0
6,38366971,507657,229309,12851784,216,602,60,0.58,9,2650803,0
14,32876839,483635,269652,287550,209,631,94,0.38,11,3604516,0
3,45767851,163393,180646,5479330,283,653,98,0.75,6,191463,0
19,35184317,111240,223149,4794138,225,866,98,0.3,11,2393235,1
1,5644741,374378,118769,309341,129,744,94,0.37,14,1672316,1
13,31245420,467134,182203,13440459,177,605,92,0.59,8,2819660,0
8,45684021,260584,197836,7856971,16,581,71,0.3,3,2874107,0
13,35271117,405898,22211,14738748,15,508,58,0.4,8,224808,0
4,985778,725875,365914,10195332,50,708,57,0.69,2,4693705,0
6,46327591,240208,296839,12123489,59,663,78,0.9,13,3961044,0
3,5964170,480439,121530,7102917,273,860,73,0.63,1,101216,0
2,17617607,730600,369728,6515955,276,525,88,0.5,11,2777415,0
6,35910186,60201,307955,6115974,268,510,73,0.58,5,152726,0
2,42113697,274672,584570,9917091,258,879,63,0.78,4,3262594,0
4,15307664,783879,314361,5471372,190,526,94,0.15,10,1436669,0
13,14726815,761250,131062,3409109,106,547,62,0.44,13,1269176,0
20,33617981,38887,168705,6107241,201,836,56,0.82,4,4982389,0
20,49454571,501215,124657,12499063,226,763,91,0.12,12,1601176,1
11,20325967,577246,184504,1994820,169,694,71,0.43,11,4624879,0
1,45328622,757053,111026,628277,251,770,88,0.2,8,1988827,1
15,19982150,151290,246656,12337209,248,557,66,0.4,14,440657,0
16,38810812,678561,142461,3515132,195,690,67,0.6,12,183228,0
15,14326153,140404,283685,7205088,117,786,72,0.58,13,1435185,0
4,30158882,777172,71423,5342809,76,585,51,0.42,15,86218,0
11,37905687,562250,303408,3053276,54,581,68,0.59,9,268694,0
3,535994,194798,500703,3922779,224,667,57,0.2,1,3777157,0
4,49512565,550183,432169,833861,162,705,100,0.65,10,1005604,0
20,26489848,535409,355060,2500194,266,832,69,0.66,5,2395376,0
11,45884790,511345,216951,11127995,128,717,85,0.24,8,3827182,1
8,5674878,755270,111773,2306838,29,606,59,0.91,8,480201,0
18,21364292,654899,425879,10835837,224,668,57,0.31,5,3634257,0
1,40009088,446924,112322,7536150,238,882,74,0.31,3,4436656,0
20,21051127,137775,86858,14986278,154,562,85,0.29,4,1385129,0
8,29452006,667682,386607,5789052,15,801,100,0.49,13,3140320,1
5,4819187,731991,308303,2039359,61,744,59,0.46,7,2376256,0
9,38150581,598483,151071,7926147,257,727,95,0.55,12,1989371,0
5,12510878,690565,554076,7813009,41,786,52,0.51,11,1139139,0
18,47684187,163892,437352,7726402,57,714,89,0.19,9,4817181,1
2,8951096,799199,599535,5871875,182,589,77,0.29,4,4997148,0
15,6291695,655085,255160,9532304,123,896,85,0.89,12,638722,0
15,3088985,736849,187319,4240472,137,884,69,0.22,13,4988708,0
10,49012645,618031,442449,5509143,79,839,98,0.2,3,4316899,1
1,6822786,627006,78508,8981860,298,754,63,0.78,12,1391841,0
1,14432217,769017,405457,6704608,126,884,81,0.63,3,2001091,0
11,17245304,545052,435945,1710710,116,510,92,0.88,4,4052528,0
8,12602337,713468,447349,1639749,12,850,65,0.33,7,112281,0
18,49949562,277774,579885,11992939,75,776,71,0.89,10,305039,0
19,20791913,373743,465562,1566690,216,755,83,0.96,5,2006105,0
5,32925539,695379,273632,5254694,125,512,77,0.16,15,2017944,0
4,28060053,245914,343709,4236448,146,783,54,0.4,13,4918261,0
14,2838107,539534,520033,4083278,208,864,96,0.36,14,3458262,1
20,15765737,252049,60731,6861985,36,776,91,0.82,4,1378667,0
18,11649484,160071,365431,11376715,15,532,72,0.36,4,2048304,0
12,31216500,688985,225006,6173771,234,696,87,0.71,4,1526119,0
18,29720787,43033,149008,9296413,29,742,68,0.61,3,4178529,0
12,38301808,741482,484078,10019948,211,876,77,0.68,4,680942,0
7,49189810,668543,330931,11948535,67,830,94,0.84,15,139806,0
2,5643630,205503,464563,9932302,176,714,74,0.21,12,4097016,0
11,18916733,456934,25912,6739299,152,755,100,0.37,6,4006629,1
18,15162693,99744,313107,636567,137,517,99,0.61,8,58378,0
14,39362163,633536,543155,14384955,157,783,98,0.71,12,2537281,0
6,45918426,529400,394439,11441297,110,579,94,0.62,14,3267241,0
11,1021910,480893,151006,3966387,15,588,59,0.59,4,2889352,0
1,22306099,624450,346321,1444300,19,553,72,0.36,15,3768052,0
4,4785583,347613,488951,8990630,240,880,81,0.22,15,4013501,1
20,43576529,569248,83708,8557777,148,610,65,0.99,12,2524897,0
14,19452535,129777,283642,4681024,162,782,83,0.58,1,382299,0
7,32060297,383363,79588,8146202,170,751,79,0.79,4,2510097,0
10,15577437,591960,279466,5966766,219,579,98,0.83,7,3691667,0
13,8558541,517573,298152,8279392,284,600,53,0.89,14,2066172,0
19,47140845,416251,72970,12996772,168,610,84,0.57,10,2048788,0
18,45173229,283643,291092,12994372,299,632,76,0.41,10,1449457,0
14,8982203,447193,102741,7497194,175,899,88,0.47,15,1656136,1
17,29578000,605148,509973,3488772,32,648,68,0.68,9,1935537,0
17,23383033,506517,488729,7389413,67,877,78,0.26,3,2251792,0
5,33859661,162522,62851,2427710,18,532,64,0.49,15,478566,0
7,33386395,144522,504643,1836987,76,646,74,0.6,8,612424,0
12,28320473,87626,560025,2384759,189,881,72,0.22,10,982452,0
7,46669195,367951,311826,988491,75,580,73,0.42,9,4272956,0
1,42023959,709385,542294,13249569,236,810,94,0.26,15,3356458,1
20,29225879,776983,36935,5486949,16,582,66,0.18,4,600132,0
20,11506223,525089,348514,7755370,20,821,63,0.55,4,4761312,0
10,12046929,390366,317539,14156369,98,614,70,0.81,6,4754119,0
19,13533468,796632,415897,6326930,116,604,76,0.21,8,605862,0
4,27770037,682403,211609,5399684,78,529,76,0.64,5,3669476,0
16,9683206,319101,369846,5871732,290,769,77,0.27,8,2596122,0
8,39890442,384265,467574,11038078,238,893,61,0.7,3,1866164,0
12,8677685,742573,360595,12833611,209,749,90,0.26,3,269936,1
11,31543054,517207,118576,5240522,159,783,60,0.69,1,4222139,0
1,9716806,187307,318501,4684938,267,807,91,0.57,12,2974761,0
9,11127443,678818,520926,4976133,53,699,62,0.66,11,2609645,0
2,19829290,151471,230639,10588263,104,647,97,0.68,3,4622180,0
1,25348941,351151,237543,1236362,160,716,93,0.46,13,1729029,1
20,42226687,108993,446798,13511530,277,609,74,0.7,11,3530712,0
4,36927412,233618,570691,7632607,248,888,68,0.55,11,1136939,0
8,48249106,321556,475238,3730404,47,578,83,0.61,1,1383932,0
19,35297210,190461,559240,14014635,181,676,97,0.51,11,514758,0
15,39519886,241215,117032,7750140,91,570,52,0.91,1,150562,0
11,40038221,614099,242217,1613406,85,884,80,0.31,4,810455,1
13,31480127,432490,364615,13511053,282,754,76,0.26,12,1987085,0
1,47931272,267642,483241,8886827,192,738,77,0.69,13,676078,0
7,22047116,275488,264782,3357781,23,880,90,0.39,9,1211859,1
16,32838827,96111,594477,5875271,29,652,80,0.63,5,345629,0
5,30064327,557862,191950,2998012,214,857,60,0.16,13,2678102,0
1,14921706,562863,587337,2611455,96,726,65,0.23,6,1427471,0
15,14224874,639232,331097,8385598,103,634,53,0.99,9,2338064,0
9,24346928,215626,203510,5469143,292,849,63,0.55,12,4823778,0
5,17096561,689328,535184,6407617,19,820,59,0.58,3,2841730,0
19,20558960,377467,410993,5901836,200,662,55,0.89,11,4417798,0
12,37775707,388012,208785,5012903,243,769,54,0.95,4,1438145,0
5,35582462,402853,471090,5319562,188,623,78,0.1,3,2234380,0
14,38503231,299584,62901,2637851,277,549,87,0.24,6,2631365,0
8,16901599,110292,506336,8024757,36,870,85,0.2,6,4601352,1
11,16916273,206739,411517,10696438,261,869,89,0.72,8,1649226,0
12,8861215,375229,376709,308251,159,863,88,0.51,1,1872361,0
16,49587063,548813,118076,10454055,64,855,98,0.36,1,4599947,1
14,37362377,749481,191567,13007737,99,504,88,0.81,1,2566103,0
12,33932814,615257,556934,2461967,286,556,67,0.49,14,1595439,0
4,38066132,447062,128150,1798545,23,886,72,0.38,1,418798,0
14,29815724,132892,442961,14196185,273,678,88,0.77,9,249629,0
